dataset,feature,feature_type,band,channel,coefficient
torres_torres,power_delta_C3,power,delta,C3,0.16979677696696516
torres_torres,power_theta_C3,power,theta,C3,2.2097544307553894
torres_torres,power_alpha_C3,power,alpha,C3,9.357746381349651
torres_torres,power_beta_C3,power,beta,C3,0.2811732686679741
torres_torres,power_gamma_C3,power,gamma,C3,1.629139354919927
torres_torres,power_delta_C4,power,delta,C4,0.7667641236278439
torres_torres,power_theta_C4,power,theta,C4,-2.043306250555815
torres_torres,power_alpha_C4,power,alpha,C4,-0.025408345157344407
torres_torres,power_beta_C4,power,beta,C4,0.0
torres_torres,power_gamma_C4,power,gamma,C4,5.95167508803687
torres_torres,power_delta_F3,power,delta,F3,-1.1312537668525542
torres_torres,power_theta_F3,power,theta,F3,-5.604799009108609
torres_torres,power_alpha_F3,power,alpha,F3,-0.2284640316842064
torres_torres,power_beta_F3,power,beta,F3,-1.801949243050048
torres_torres,power_gamma_F3,power,gamma,F3,0.0
torres_torres,power_delta_F4,power,delta,F4,0.0
torres_torres,power_theta_F4,power,theta,F4,-3.801776015203744
torres_torres,power_alpha_F4,power,alpha,F4,0.0
torres_torres,power_beta_F4,power,beta,F4,0.2659409727473892
torres_torres,power_gamma_F4,power,gamma,F4,0.0
torres_torres,power_delta_F7,power,delta,F7,-0.6199244431588272
torres_torres,power_theta_F7,power,theta,F7,-2.691729725214634
torres_torres,power_alpha_F7,power,alpha,F7,0.0
torres_torres,power_beta_F7,power,beta,F7,0.40089104699156897
torres_torres,power_gamma_F7,power,gamma,F7,0.0
torres_torres,power_delta_F8,power,delta,F8,-0.7442600458123791
torres_torres,power_theta_F8,power,theta,F8,0.0
torres_torres,power_alpha_F8,power,alpha,F8,1.0847315080125537
torres_torres,power_beta_F8,power,beta,F8,-1.8577138502255466
torres_torres,power_gamma_F8,power,gamma,F8,-2.204213935620415
torres_torres,power_delta_Fp1,power,delta,Fp1,0.22158487792322668
torres_torres,power_theta_Fp1,power,theta,Fp1,0.0996249910069767
torres_torres,power_alpha_Fp1,power,alpha,Fp1,0.0
torres_torres,power_beta_Fp1,power,beta,Fp1,4.703859946609096
torres_torres,power_gamma_Fp1,power,gamma,Fp1,0.0
torres_torres,power_delta_Fp2,power,delta,Fp2,-1.0987353477025836
torres_torres,power_theta_Fp2,power,theta,Fp2,0.0
torres_torres,power_alpha_Fp2,power,alpha,Fp2,0.0
torres_torres,power_beta_Fp2,power,beta,Fp2,0.20425161672250436
torres_torres,power_gamma_Fp2,power,gamma,Fp2,0.8423299931221537
torres_torres,power_delta_Fz,power,delta,Fz,1.8710164408725285
torres_torres,power_theta_Fz,power,theta,Fz,-2.8007236457902844
torres_torres,power_alpha_Fz,power,alpha,Fz,0.0
torres_torres,power_beta_Fz,power,beta,Fz,0.0
torres_torres,power_gamma_Fz,power,gamma,Fz,0.0
torres_torres,power_delta_P7,power,delta,P7,-0.2816745722257282
torres_torres,power_theta_P7,power,theta,P7,-2.0892710673072603
torres_torres,power_alpha_P7,power,alpha,P7,-3.5846692345846995
torres_torres,power_beta_P7,power,beta,P7,0.0
torres_torres,power_gamma_P7,power,gamma,P7,0.0
torres_torres,power_delta_P8,power,delta,P8,-3.806633301111798
torres_torres,power_theta_P8,power,theta,P8,0.70193847218472
torres_torres,power_alpha_P8,power,alpha,P8,0.7618124030429339
torres_torres,power_beta_P8,power,beta,P8,-0.9452192675578807
torres_torres,power_gamma_P8,power,gamma,P8,-1.1208510048241564
torres_torres,power_delta_T7,power,delta,T7,0.0
torres_torres,power_theta_T7,power,theta,T7,5.08800389568079
torres_torres,power_alpha_T7,power,alpha,T7,1.5369991321300536
torres_torres,power_beta_T7,power,beta,T7,-2.1652337204554724
